"Species","Colony_Name","Count_Type","first_year","last_year","n_counts","min_count","max_count","mean_count"
"ARTE","Country Island, NS","Individuals",1996,2017,19,340,2492,1270.31578947368
"ARTE","Insular NF","Individuals",1973,2016,4,2467,8729,6165.5
"ARTE","Machias Seal Island, NB","Individuals",1971,2018,13,246,20000,4106.76923076923
"ARTE","Sable Island, NS","Individuals",1984,2016,9,170,3602,827.333333333333
"ARTE","The Brothers, North, NS","Individuals",1991,2020,6,74,456,228.333333333333
"ATPU","Baccalieu Island, NF","Individuals",1979,2005,4,58748,150000,89837
"ATPU","Coleman Island, NF","Individuals",1979,2018,2,530,25298,12914
"ATPU","Gannet Clusters, GC 1, LB","Individuals",1978,1999,4,11426,22942,17742.5
"ATPU","Gannet Clusters, GC 2, LB","Individuals",1978,2015,5,9776,14132,12658.8
"ATPU","Gannet Clusters, GC 3, LB","Individuals",1978,1999,4,11280,13044,11864.5
"ATPU","Gannet Clusters, GC 4, LB","Individuals",1978,2015,5,12560,20502,17070.8
"ATPU","Gannet Clusters, GC 5, LB","Individuals",1978,2018,5,9164,17148,12552.8
"ATPU","Gaspe Peninsula, QC","Individuals",1979,2018,6,0,5,2.83333333333333
"ATPU","Great Island (Witless Bay), NF","Individuals",1979,2011,5,234208,413208,323484.8
"ATPU","Gull Island (Witless Bay), NF","Individuals",1979,2012,5,59452,280858,140336.8
"ATPU","Herring Islands 1, LB","Individuals",1978,2010,2,3944,8964,6454
"ATPU","Herring Islands 2, LB","Individuals",1978,2010,2,16852,17966,17409
"ATPU","Herring Islands 3, LB","Individuals",1978,2010,2,4490,8014,6252
"ATPU","Machias Seal Island, NB","Individuals",1965,2019,20,1100,17270,5255
"ATPU","North Bird Island, NF","Individuals",1985,2019,2,2000,18782,10391
"ATPU","North Green Island (Lab), LB","Individuals",1978,2010,3,4368,8338,5956
"ATPU","NorthShore MB Sanctuaries (n=9)","Individuals",1965,2015,10,14716,46684,28772.3
"ATPU","Outer Gannet Island, LB","Individuals",1978,2000,3,8108,16798,12530
"ATPU","Pee Pee Island, NF","Individuals",1979,2010,2,2680,3700,3190
"ATPU","Penguin Island, South, NF","Individuals",1979,2018,2,3010,17762,10386
"ATPU","Puffin Islands (Lab), LB","Individuals",1978,2002,2,1238,3894,2566
"ATPU","Small Island, Wadham Is, NF","Individuals",1979,2018,5,12380,50236,33370.4
"ATPU","The Doughboy, uni e. of Pompey Island, LB","Individuals",1978,2002,2,324,348,336
"ATPU","Tinker Island, nr. Indian Hr., LB","Individuals",1978,2010,3,10,62,43.3333333333333
"BLGU","Country Island, NS","Individuals",2000,2017,18,3,617,259.166666666667
"BLGU","Gannet Clusters, LB","Individuals",1983,2017,6,2,445,194
"BLGU","Gaspe Peninsula, QC","Individuals",1979,2018,6,4016,11694,8134
"BLGU","Labrador coast","Individuals",1978,2013,3,2299,8400,5149.66666666667
"BLGU","Magdalen Islands, QC","Individuals",1990,2017,5,1328,3110,2184.8
"BLGU","NorthShore MB Sanctuaries (n=9)","Individuals",1977,2015,8,411,928,613.25
"BLGU","Outer Gannet, LB","Individuals",1983,2016,3,5,50,35
"BLGU","St. Lawrence Estuary (partial), QC","Individuals",1975,2016,6,558,3140,1694
"BLKI","Baccalieu Island, NF","Individuals",1984,2012,3,10192,25950,16351.3333333333
"BLKI","Cape St. Mary's, NF","Individuals",1979,2019,2,8782,20000,14391
"BLKI","Deadman's Bay, NF","Individuals",1985,2018,5,1592,5732,3974.4
"BLKI","Falaise aux Goélands, Anticosti Is., QC","Individuals",1972,2019,6,5682,45680,25019.3333333333
"BLKI","Funk Island, NF","Individuals",1979,2018,16,74,1620,471
"BLKI","Gannet Clusters, LB","Individuals",1972,2015,11,0,126,63.0909090909091
"BLKI","Gaspe Peninsula, QC","Individuals",1974,2018,7,33649,86846,53795.2857142857
"BLKI","Great Island (Witless Bay), NF","Individuals",1994,2015,7,13094,47574,21145.4285714286
"BLKI","Gull Island (Witless Bay), NF","Individuals",1970,2019,20,6104,20280,10111.8
"BLKI","Labrador coast","Individuals",1978,2014,2,2077,2157,2117
"BLKI","Magdalen Islands, QC","Individuals",1976,2017,6,11176,24698,16657.6666666667
"BLKI","New Brunswick Gulf of St. Lawrence","Individuals",2000,2015,4,194,1098,696
"BLKI","NorthShore MB Sanctuaries (n=9)","Individuals",1965,2015,10,680,8536,4071.6
"BLKI","St. Lawrence Estuary (partial), QC","Individuals",1975,2016,6,0,1178,517.333333333333
"BLKI","The Drook/Mistaken Point, NF","Individuals",1976,2009,4,1200,8340,5147
"CATE","NorthShore MB Sanctuaries (n=9)","Individuals",1965,2015,10,0,15,4.5
"COEI","Country Island, NS","Individuals",1999,2018,19,124,564,325.368421052632
"COEI","Gaspe Peninsula, QC","Individuals",1979,2018,6,72,3318,1076.33333333333
"COEI","NorthShore MB Sanctuaries (n=9)","Individuals",1965,2015,9,1718,27750,14126.5555555556
"COMU","Cabot Island, NF","Individuals",1979,2010,3,5200,20000,10554.6666666667
"COMU","Cape St. Mary's, NF","Individuals",1979,2007,2,20000,30968,25484
"COMU","Funk Island, NF","Individuals",1972,2009,4,778194,941278,834330
"COMU","Gannet Clusters, LB","Individuals",1972,2015,6,34904,74310,43232.3333333333
"COMU","Gaspe Peninsula, QC","Individuals",1979,2018,6,23732,85344,51616.6666666667
"COMU","Herring Islands, LB","Individuals",1978,2010,2,4066,8266,6166
"COMU","Kidlit Islands, LB","Individuals",1978,2009,2,80,1474,777
"COMU","Machias Seal Island, NB","Individuals",1980,2020,11,0,1240,521.894736842105
"COMU","Magdalen Islands, QC","Individuals",2000,2017,4,7380,53602,22770.5
"COMU","North Green, LB","Individuals",1978,2010,3,50,890,437.333333333333
"COMU","NorthShore MB Sanctuaries (n=9)","Individuals",1965,2015,10,5634,33938,19878.8
"COMU","Outer Gannet, LB","Individuals",1972,2015,6,2224,52288,33196
"COMU","Pyramid Is., LB","Individuals",1978,2009,2,0,700,350
"COMU","St. Lawrence Estuary (partial), QC","Individuals",1975,2016,6,0,10690,2777.66666666667
"COMU","The Barbican, LB","Individuals",1978,2009,2,0,320,160
"COMU","The Castle, LB","Individuals",1979,2009,2,94,500,297
"COTE","Country Island, NS","Individuals",1996,2017,19,100,1462,801.052631578947
"COTE","Gaspe Peninsula, QC","Individuals",1979,2018,6,300,4814,1572.66666666667
"COTE","Insular NF","Individuals",1973,2016,4,9559,15923,11445.75
"COTE","Magdalen Islands, QC","Individuals",1976,2017,6,1400,5594,4535
"COTE","Mingan Archipelago NP Reserve","Individuals",1986,2019,4,5688,9322,7968.5
"COTE","NorthShore MB Sanctuaries (n=9)","Individuals",1965,2015,10,394,3311,1291.6
"COTE","Prince Edward Island","Individuals",1975,2019,10,574,6796,1947.8
"COTE","Sable Island, NS","Individuals",1984,2016,9,1200,14130,4514.44444444444
"COTE","The Brothers, North, NS","Individuals",1989,2020,7,366,1300,767.714285714286
"DCCO","Gaspe Peninsula, QC","Individuals",1979,2018,6,4886,14852,10770.6666666667
"DCCO","Magdalen Islands, QC","Individuals",1976,2017,6,1962,9176,5131.33333333333
